"value_labels","example_label","waves_present","n_waves","n_questions","variables"
"Missing | Strongly agree | Somewhat agree | Somewhat disagree | Strongly disagree | Don't understand the question | Can't choose | Decline to answer","q49. Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Most people are trustworthy?","W3, W4, W5",3,69,"W3:q49 | W3:q50 | W3:q52 | W3:q53 | W3:q54 | W3:q55 | W3:q56 | W3:q57 | W3:q58 | W3:q59 | W3:q60 | W3:q61 | W3:q62 | W3:q63 | W3:q80 | W3:q81 | W3:q82 | W3:q83 | W3:q98 | W3:q99 | W3:q100 | W3:q101 | W3:q102 | W3:q103 | W3:q104 | W3:q105 | W3:q106 | W3:q107 | W3:q133 | W3:q134 | W3:q135 | W3:q136 | W3:q137 | W3:q138 | W3:q139 | W3:q140 | W3:q141 | W3:q142 | W3:q143 | W3:q144 | W3:q145 | W3:q146 | W3:q147 | W3:q148 | W3:q141a | W3:q142a | W3:q143a | W3:q144a | W3:q145a | W3:q146a | W3:q147a | W4:q101 | W4:q102 | W4:q103 | W4:q104 | W4:q105 | W4:q106 | W4:q107 | W4:q108 | W4:q109 | W5:q108 | W5:q109 | W5:q110 | W5:q111 | W5:q112 | W5:q113 | W5:q114 | W5:q115 | W5:q116"
"Missing | Strongly agree | Agree | Disagree | Strongly disagree | Do not understand the question | Can't choose | Decline to answer","q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government.""","W3, W4, W5",3,36,"W3:q128 | W3:q152 | W3:q153 | W4:q83 | W4:q84 | W4:q85 | W4:q86 | W4:q129 | W4:q130 | W4:q131 | W4:q132 | W4:q133 | W4:q134 | W4:q135 | W4:q136 | W4:q137 | W4:q138 | W4:q139 | W4:q140 | W4:q141 | W4:q142 | W4:q143 | W4:q144 | W4:q145 | W4:q146 | W4:q147 | W4:q148 | W4:q149 | W4:q151 | W4:q152 | W4:q156 | W5:q86 | W5:q87 | W5:q88 | W5:q89 | W5:q136"
"Missing | Not applicable | Yes | No | Do not understand the question | Can't choose | Decline to answer","35. Did you attend a campaign meeting or rally?","W4, W5, W6",3,18,"W4:q35 | W4:q36 | W4:q37 | W4:q50 | W5:q35 | W5:q36 | W5:q37 | W5:q50 | W5:q51a | W5:q51b | W5:q51c | W5:q51d | W6:q51a_Facebook | W6:q51b_Twitter | W6:q51c_Instagram | W6:q51d_Youtube | W6:q51e_Tiktok | W6:q118"
"Missing | Not applicable | Strongly agree | Agree | Do not understand the question | Can't choose | Decline to answer","q74a. Do you strongly agree or just agree with the chosen statement?","W3, W4, W5",3,16,"W3:q74a | W3:q75a | W3:q76a | W3:q77a | W3:q78a | W3:q79a | W4:q79a | W4:q80a | W4:q81a | W4:q82a | W5:q82a | W5:q83a | W5:q84a | W5:q85a | W5:q156a | W5:q157a"
"Missing | Much better | A little better | About the same | A little worse | Much worse | Do not understand the question | Can't choose | Decline to answer","q2. How would you describe the change in the economic condition of our country over the last few years","W3, W4, W5",3,12,"W3:q2 | W3:q3 | W3:q6 | W4:q2 | W4:q3 | W4:q5 | W4:q6 | W5:q2 | W5:q3 | W5:q5 | W5:q6 | W5:q165"
"Missing | A great deal of influence | Some influence | Not much influence | No influence at all | Do not understand the question | Can't choose | Decline to answer","q160. How much influence does China have on our country?","W3, W4, W5",3,5,"W3:q160 | W4:q168 | W4:q170 | W5:q181 | W5:q183"
"Missing | No, nobody | Yes, a few | Yes, some | Yes, a lot | Do not understand the question | Can't choose | Decline to answer","q29. If you have a difficult problem to manage, are there people outside your household you can ask for help? (NEW)","W3, W4, W5",3,5,"W3:q29 | W3:q30 | W4:q30 | W4:q31 | W5:q31"
"Missing | Economic development is definitely more important | Economic development is somewhat more important | Democracy is somewhat more important | Democracy is definitely more important | They are both equally important | Do not understand the question | Can't choose | Decline to answer","q126. If you had to choose between democracy and economic development, which would you say is more important?","W3, W4, W5",3,3,"W3:q126 | W4:q127 | W5:q134"
"Missing | It works fine, not need to change | Needs minor change | Needs major change | Should be replaced | Do not understand the question | Can't choose | Decline to answer","q84. Compared with other systems in the world, would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?","W3, W4, W5",3,3,"W3:q84 | W4:q87 | W5:q90"
"Missing | Not applicable | 0-4 people | 5-9 people | 10-19 people | 20-49 people | 50 or more people | Do not understand the question | Can't choose | Decline to answer","29. How many people do you have contact within a typical week day?","W4, W5, W6",3,3,"W4:q29 | W5:q28 | W6:q28"
