"q_number","waves_present","n_waves","labels","variables"
1,"W2, W3, W4, W5, W6",5,"How would you rate the overall economic condition of our cou || q1. How would you rate the overall economic condition of our || 1. How would you rate the overll economic condition of our c || 1. How would you rate the overall economic condition of our  || 1 How would you rate the overall economic condition of our c","q1, q1, q1, q1, q1"
2,"W2, W3, W4, W5, W6",5,"How would you describe the change in the economic condition  || q2. How would you describe the change in the economic condit || 2. How would you dsecribe the change in the economic conditi || 2 How would you describe the change in the economic conditio","q2, q2, q2, q2, q2"
3,"W2, W3, W4, W5, W6",5,"What do you think will be the state of our country's economi || q3. What do you think will be the state of our country's eco || 3. What do you think will be the state of our country's econ || 3 What do you think will be the state of our country's econo","q3, q3, q3, q3, q3"
4,"W2, W3, W4, W5, W6",5,"As for your own family, how do you rate your economic situat || q4. As for your own family, how do you rate the economic sit || 4. As for your own family, how do you rate the economic situ || 4 As for your own family, how do you rate the economic situa","q4, q4, q4, q4, q4"
5,"W2, W3, W4, W5, W6",5,"How would you compare the current economic condition of your || q5. How would you compare the current economic condition of  || 5. How would you compare the current economic condition of y || 5 How would you compare the current economic condition of yo","q5, q5, q5, q5, q5"
6,"W2, W3, W4, W5, W6",5,"What do you think the economic situation of your family will || q6. What do you think the economic situation of your family  || 6. What do you think the economic situation of your family w || 6 What do you think the economic situation of your family wi","q6, q6, q6, q6, q6"
7,"W2, W3, W4, W5, W6",5,"Trust in Prime Minister or president || q7. I'm going to name a number of institutions. For each one || 7 Trust in the excutive office (president or prime minister)","q7, q7, q7, q7, q7"
8,"W2, W3, W4, W5, W6",5,"Trust in the Courts || q8. The courts || 8 The courts","q8, q8, q8, q8, q8"
9,"W2, W3, W4, W5, W6",5,"Trust in the national government || q9. The national government [in capital city] || 9 National government in the capital city","q9, q9, q9, q9, q9"
10,"W2, W3, W4, W5, W6",5,"Trust in Political parties || q10. Political parties [not any specific party] || 10 Political parties || 10 Political parties[not any specific party] || 10 Political parties [not any specific party]","q10, q10, q10, q10, q10"
11,"W2, W3, W4, W5, W6",5,"Trust in Parliament || q11. Parliament || 11 Parliament","q11, q11, q11, q11, q11"
12,"W2, W3, W4, W5, W6",5,"Trust in Civil service || q12. Civil service || 12 Civil service || 12 Civil Service","q12, q12, q12, q12, q12"
13,"W2, W3, W4, W5, W6",5,"Trust in the military(or armed forces) || q13. The military(or armed forces) || 13 The military || 13 The military or armed force || 13 The military or armed forces","q13, q13, q13, q13, q13"
14,"W2, W3, W4, W5, W6",5,"Trust in the police || q14. The police || 14 The police","q14, q14, q14, q14, q14"
15,"W2, W3, W4, W5, W6",5,"Trust in local government || q15. Local government || 15 Local government","q15, q15, q15, q15, q15"
16,"W2, W3, W4, W5, W6",5,"Trust in newspaper || q16. Newspapers || 16 Newspaper || 16 The election commission","q16, q16, q16, q16, q16"
17,"W2, W3, W4, W5, W6",5,"Trust in television || q17. Television || 17 Television || 17 Non-government organizations or NGOs","q17, q17, q17, q17, q17"
18,"W2, W3, W4, W5, W6, W6",5,"Trust in the election commission(Singapore: International TV || q18. The election commission [specify institution by name] < || 18 The election commission || 18. Name of the organization you belong to. First || 18 Name of the organization you belong to. First || 18 Other specify responses","q18, q18, q18, q18, q18, q18_other"
19,"W2, W3, W4, W5, W6, W6",5,"Trust in NGOs || q19. Non-governmental organizations or NGOs <Optional> || 19 Non-government organizations or NGOs || 19. Name of the organization you belong to. Second || 19 Name of the organization you belong to. Second || 19 Other specify responses","q19, q19, q19, q19, q19, q19_other"
20,"W2, W2, W2, W2, W3, W4, W5, W6, W6",5,"Are you a member of any organization or formal groups? || First organization || Second organization || Third organization || q20. Could you identity the three most important organizatio || 20. Name of the organization you belong to. First || 20. Name of the organization that you belong to. Third || 20 Name of the organization that you belong to. Third || 20 Other specify responses","q20, q20_1, q20_2, q20_3, q20, q20, q20, q20, q20_other"
23,"W2, W3, W4, W5, W6",5,"General speaking, would you say ""Most people can be trusted"" || q23. General speaking, would you say that ""Most people can b || 23 Would you say that ""Most people can be trusted"" or ""that  || 23 Do you agree with the statement that 'most people are tru","q23, q23, q23, q23, q23"
24,"W2, W3, W4, W5, W6",5,"How much trust do you have in your relatives? || q24. Do you think most people would try to take advantage of || 24. Do you ageee with the statement 'Most people are trustwo || 24 How much trust do you have in each of the following types","q24, q24, q24, q24, q24"
25,"W2, W3, W4, W5, W6",5,"How much trust do you have in your neighbors? || q25. How much trust do you have in each of the following typ || 25 Do you think most people would try to take advantage of y || 25 Trust in your neighbors","q25, q25, q25, q25, q25"
26,"W2, W3, W4, W5, W6",5,"How much trust do you have in other people you interact with || q26. Your neighbors || 26. How much do you trust your relatives? || 26 Trust in other people you interact with","q26, q26, q26, q26, q26"
27,"W2, W3, W4, W5, W6",5,"On average, about how many people do you have contact with i || q27. Other people you interact with || 27. Trust your neighbors || 27 Trust in people you meet for the first time","q27, q27, q27, q27, q27"
28,"W2, W3, W4, W5, W6",5,"How often are you asked to help influence important decision || q28. On average, about how many people do you have contact w || 28. Trust other people you interact with || 28 How many people do you have contact within a typical week || 28 How many people do you have contact with in a typical wee","q28, q28, q28, q28, q28"
29,"W2, W3, W4, W5, W6",5,"And are there people you could ask to help influence importa || q29. If you have a difficult problem to manage, are there pe || 29. How many people do you have contact within a typical wee || 29 Which of the following best describes your relations with","q29, q29, q29, q29, q29"
30,"W2, W3, W4, W5, W6",5,"Do you agree or disagree with the following statement: By he || q30. When people outside your household have problems, do th || 30. If you have a difficult problem to manage, are there peo || 30 Among these people you have frequent contacts, which of t","q30, q30, q30, q30, q30"
31,"W2, W3, W4, W5, W6",5,"Would you have a hard time conversing with your friends or c || q31. If you had friends or co-workers whose opinions on poli || 31. When people outside your household have problems, do the || 31 If you have a difficult problem to manage, are there peop","q31, q31, q31, q31, q31"
32,"W2, W3, W4, W5, W6",5,"Generally speaking, how safe is living in this city/town/vil || q32. In talking to people about elections, we often find tha || 32 If you had friends or co-workers whose opinions on politi","q32, q32, q32, q32, q32"
33,"W2, W3, W3, W4, W5, W6",5,"Compared to the situation in this city/town/village a few ye || q33. Which parties (or candidates for president if it was pr || q33a. Based on the answer to Q33, please construct a new var || 33 Did you vote in the last national election? || 33 Did you vote in the national election?","q33, q33, q33a, q33, q33, q33"
34,"W2, W3, W4, W4, W5, W5, W6, W6, W6",5,"Have you been a victim of car, motorcycle or bicycle theft? || q34. Thinking about the national election in [year], did you || 34 Which parties or candidates did you vote for? || 34a Did the respondent vote for the winning or losing camp? || 34. Other specify responses","q34, q34, q34, q34a, q34, q34a, q34, q34other, q34a"
35,"W2, W3, W4, W5, W6",5,"Have you been a victim of pick-pocketing/robbery of personal || q35. try to persuade others to vote for a certain candidate  || 35. Did you attend a campaign meeting or rally? || 35. Did you attend a campaign meeting or rally in the last n || 35 Did you attend a campaign meeting or rally in the last na","q35, q35, q35, q35, q35"
36,"W2, W3, W4, W5, W6",5,"Have you been a victim of break-in at your home? || q36. Did you do anything else to help out or work for a part || 36. Try to persudae others to vote for a certain candidate o || 36 Try to persuade others to vote for a certain candidate or","q36, q36, q36, q36, q36"
37,"W2, W3, W4, W5, W6",5,"Have you been a victim of physical violence? || q37. On the whole, how free and fair would you say the last  || 37. Did you do anything else to help out or work for a party || 37 Did you do anything else to help out or work for a party ","q37, q37, q37, q37, q37"
38,"W2, W3, W4, W5, W6",5,"Have you voted in the last election? || q38. Based on your experience, how easy or difficult is it t || 38.On the whole, how free and fair would you say the last na || 38 On the whole, how free and fair would you say the last na","q38, q38, q38, q38, q38"
39,"W2, W2, W3, W4, W5, W6",5,"Which parties (or candidates for president if it was preside || If the respondent voted for the winning camp or loosing camp || q39. A place in a public primary school for a child || 39. How easy or difficult to obtain an identity document ser || 39 How easy or difficult to obtain roads in good condition || 39 How easy or difficult to obtain the roads in good conditi","q39, q39a, q39, q39, q39, q39"
40,"W2, W3, W4, W5, W6",5,"Attend a campaign meeting or rally || q40. Medical treatment at a nearby clinic || 40. How easy or difficult to obtain a place in a public prim || 40 How easy or difficult to obtain running water","q40, q40, q40, q40, q40"
41,"W2, W3, W4, W5, W6",5,"Try to persuade others to vote for a certain candidate or pa || q41. Help from the police when you need it || 41. How easy or difficult to obtain medical treatment at nea || 41 How easy or difficult to obtain public transportation","q41, q41, q41, q41, q41"
